release_date,budget
9/27/2012,45000000
11/24/2016,12000000
9/23/2015,35000000
6/8/2011,50000000
11/19/1999,100000000
4/3/2011,90000000
6/1/2009,40000000
4/25/2006,150000000
7/3/2019,9000000
12/20/1996,15000000
9/17/2019,87500000
5/24/2000,125000000
3/30/1988,15000000
12/15/2000,100000000
10/31/2002,5000000
7/2/2003,200000000
4/16/2015,25000000
12/14/2002,100000000
9/5/2018,22000000
8/28/1998,1350000
3/5/2014,110000000
2/6/2013,92000000
9/7/2003,40000000
7/17/2014,9000000
3/3/2003,25000000
5/25/2016,170000000
7/3/2008,52000000
7/8/2016,5000000
5/20/2009,200000000
12/26/2007,25000000
6/19/1992,80000000
7/14/2016,144000000
9/12/1997,50000000
3/2/2011,135000000
5/21/2001,140000000
6/5/2019,200000000
6/12/2013,32000000
7/8/2011,35000000
9/20/2004,75000000
10/16/2014,0
6/29/2016,180000000
8/2/2001,17000000
5/15/2008,225000000
8/1/1954,1000000
8/28/2014,5500000
10/13/2016,75000000
9/24/2014,2000000
9/9/2012,45000000
11/20/2009,29000000
3/1/2012,12000000
3/26/2010,125000000
7/26/2017,30000000
6/5/2007,85000000
8/13/2015,75000000
11/19/2004,100000000
3/7/2014,125000000
12/25/1997,12000000
8/2/2022,65000000
6/8/1984,11000000
1/3/2019,129000000
12/12/1988,25000000
1/25/1961,4000000
10/18/1967,4000000
3/15/2002,33000000
7/17/2013,28000000
9/7/1997,36000000
1/31/2013,35000000
4/7/1995,19000000
2/16/2018,17000000
10/2/2014,6500000
8/16/2017,30000000
6/16/2017,217000000
10/12/2017,4800000
6/29/2001,100000000
10/18/2002,48000000
6/11/2001,115000000
12/25/2019,40000000
10/16/2019,185000000
9/19/2003,22000000
5/21/2021,61000000
2/29/2020,200000000
8/18/2017,20000000
11/10/2004,165000000
10/1/2014,70000000
8/21/1987,6000000
10/22/1982,15000000
6/22/2016,165000000
5/6/2015,65000000
6/21/2002,80000000
6/6/2001,15000000
9/8/2011,60000000
6/6/2012,145000000
8/5/2015,120000000
12/15/2018,135000000
1/14/2010,80000000
10/13/2016,44000000
11/24/1993,25000000
12/25/1990,54000000
12/16/1994,16000000
11/15/1996,80000000
5/22/2014,2000000
5/19/1995,90000000
6/9/1994,30000000
2/28/2018,69000000
8/9/2008,92000000
11/21/2008,150000000
10/15/2015,4000000
6/24/2010,80000000
11/2/2012,31000000
5/21/1999,42000000
7/16/1999,65000000
9/14/2016,90000000
6/10/2010,40000000
9/23/2020,21000000
7/3/2013,215000000
4/24/2020,65000000
10/6/2000,55000000
11/6/2009,47000000
11/27/2015,15000000
9/29/2021,250000000
12/17/2014,127000000
5/29/2019,170000000
1/14/2016,38000000
1/15/2007,110000000
11/9/2022,250000000
6/16/2016,50000000
10/19/2022,200000000
8/21/1998,45000000
12/20/2007,50000000
9/17/2009,100000000
7/28/1951,3000000
2/23/1940,2600000
5/16/2012,16000000
10/24/2013,110000000
10/17/1997,57000000
10/5/2016,45000000
4/7/2021,20000000
5/5/2004,160000000
5/25/2021,39000000
1/19/1996,19000000
12/8/2017,11000000
5/15/2012,65000000
11/18/2016,9000000
6/19/2003,137000000
12/31/2013,0
2/15/2018,37000000
12/25/2014,44000000
2/11/2005,70000000
6/20/2007,110000000
7/27/2016,120000000
12/16/2014,48000000
10/5/2001,45000000
11/11/1994,60000000
9/21/2015,80000000
8/8/2012,130000000
2/13/2008,85000000
5/10/2017,175000000
1/23/2016,145000000
8/8/1986,8000000
2/4/1994,15000000
6/14/1995,55000000
2/14/2011,40000000
3/17/2006,45000000
12/22/2017,90000000
2/26/2020,7000000
5/25/1975,400000
7/3/1990,70000000
2/10/2011,80000000
6/15/2017,175000000
8/3/2017,15000000
6/7/1985,19000000
3/14/2019,7000000
5/28/1958,2479000
6/1/1990,65000000
11/22/1995,50000000
6/12/2009,5000000
8/14/1942,858000
3/7/2012,250000000
6/1/2022,165000000
3/27/2013,130000000
6/21/1988,70000000
3/24/2022,25000000
12/28/2001,92000000
7/28/2021,200000000
12/2/2010,155000000
10/9/2019,42000000
10/10/2008,15000000
6/3/1987,25000000
3/24/2015,30000000
10/3/2003,35000000
3/21/1997,45000000
8/2/2002,72000000
11/14/2015,175000000
11/4/2021,160000000
4/11/2012,209000000
1/30/2014,120000000
12/15/2016,36000000
5/30/2003,60000000
8/15/1939,2777000
1/29/1964,1800000
7/21/2010,110000000
8/2/2012,125000000
8/6/1999,70000000
7/13/1990,22000000
4/16/2014,100000000
12/8/2010,100000000
11/20/2007,85000000
5/7/2015,29000000
7/2/2004,5000000
3/17/2000,23000000
8/4/2004,65000000
1/1/2020,22000000
7/19/2023,145000000
2/10/2022,120000000
5/22/1992,50000000
12/8/2009,105000000
9/2/2020,0
12/7/2006,40000000
11/3/2010,65000000
4/17/1941,839727
10/24/2011,130000000
12/16/2021,190000000
3/29/2012,3000000
12/13/1996,70000000
11/21/2018,50000000
6/30/1995,52000000
10/23/2003,128000000
2/5/1953,4000000
2/26/2014,50000000
10/24/1978,325000
4/12/2017,7000000
7/18/2013,20000000
7/21/2005,126000000
12/18/2012,61000000
11/20/1997,53000000
11/1/2006,18000000
5/3/2023,250000000
11/2/2007,100000000
4/10/1991,70000000
1/15/1943,878000
7/18/2003,130000000
6/29/2016,10000000
12/17/2004,110000000
3/19/2009,50000000
10/2/2002,21000000
10/10/2018,70000000
2/1/2012,15000000
12/22/2010,38000000
7/24/2009,20000000
6/18/2015,12000000
6/22/1955,4000000
5/23/1984,30000000
4/16/1988,3700000
8/7/2013,90000000
11/23/2018,15000000
6/5/2014,4000000
6/27/1997,80000000
8/3/2022,90000000
10/23/2009,40000000
7/24/2020,0
10/28/2005,4000000
10/9/2013,50000000
6/24/2016,17000000
3/11/2009,20000000
2/17/1959,6000000
7/11/2008,85000000
6/16/1995,100000000
11/22/2017,30000000
12/13/2007,130000000
4/13/2004,37000000
11/16/2006,100000000
12/16/2016,150000000
8/3/2017,11000000
7/29/2011,163000000
10/2/2019,140000000
2/14/2003,78000000
11/22/2010,30000000
5/22/2007,25000000
12/16/2004,140000000
3/5/2020,42000000
11/1/1996,14500000
9/14/2007,215000
4/23/2004,70000000
9/7/2012,50000000
12/24/1970,4000000
8/3/2017,60000000
2/27/2013,195000000
10/13/2015,55000000
7/19/2018,62000000
10/23/2019,185000000
9/23/2011,50000000
2/8/2008,15000000
3/22/2023,90000000
10/15/2009,53000000
7/13/2010,150000000
4/13/2001,25000000
11/21/2007,18000000
4/22/2021,40000000
11/13/1992,40000000
6/20/1997,125000000
7/11/2018,125000000
9/15/2010,37000000
11/9/1984,1100000
6/21/1996,100000000
8/7/2014,95000000
11/12/1998,90000000
2/8/2017,80000000
12/14/2018,50000000
12/8/2006,85000000
10/31/1941,812000
7/15/1998,23000000
8/3/2001,37000000
4/6/2016,115000000
9/10/2015,55000000
7/17/1987,13000000
8/10/2001,30000000
3/14/2013,15000000
11/12/2022,40000000
8/18/2006,16500000
3/21/2018,150000000
3/29/2002,48000000
10/28/2007,150000000
